system:index,NAME,count,imageId,.geo
2001_01_01_00000000000000000000,West Virginia,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000001,Florida,2525,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000004,Maryland,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000008,North Carolina,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000000b,Delaware,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000015,Georgia,9,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001b,South Carolina,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000034,Virginia,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000035,District of Columbia,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000016,Alabama,1,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001d,Tennessee,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000021,Kentucky,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000002c,Mississippi,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000014,Louisiana,82,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000019,Texas,112,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001c,Oklahoma,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000002b,Arkansas,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000006,Idaho,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000000c,New Mexico,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000017,Utah,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001a,Colorado,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001e,Wyoming,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000027,Nevada,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000002e,Montana,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000037,Arizona,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000000d,California,211,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000010,Oregon,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000013,Washington,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_0000000000000000001f,Hawaii,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01_00000000000000000028,Alaska,0,2001_01_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000022,United States Virgin Islands,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000023,Commonwealth of the Northern Mariana Islands,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000024,Guam,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000029,American Samoa,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000031,Puerto Rico,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000005,Rhode Island,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000007,New Hampshire,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000009,Vermont,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000a,Connecticut,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000025,Maine,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000033,Massachusetts,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000e,New Jersey,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000012,Pennsylvania,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000026,New York,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000002,Illinois,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000f,Wisconsin,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000018,Ohio,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002a,Michigan,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000030,Indiana,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000003,Minnesota,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000011,Nebraska,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000020,North Dakota,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002d,Missouri,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002f,Kansas,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000032,South Dakota,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000036,Iowa,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000000,West Virginia,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000001,Florida,1251,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000004,Maryland,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000008,North Carolina,44,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000b,Delaware,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000015,Georgia,51,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001b,South Carolina,56,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000034,Virginia,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000035,District of Columbia,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000016,Alabama,82,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001d,Tennessee,3,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000021,Kentucky,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002c,Mississippi,21,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000014,Louisiana,49,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000019,Texas,19,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001c,Oklahoma,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002b,Arkansas,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000006,Idaho,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000c,New Mexico,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000017,Utah,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001a,Colorado,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001e,Wyoming,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000027,Nevada,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000002e,Montana,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000037,Arizona,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000000d,California,7,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000010,Oregon,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000013,Washington,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_0000000000000000001f,Hawaii,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_01_00000000000000000028,Alaska,0,2001_02_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000022,United States Virgin Islands,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000023,Commonwealth of the Northern Mariana Islands,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000024,Guam,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000029,American Samoa,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000031,Puerto Rico,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000005,Rhode Island,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_01_00000000000000000007,New Hampshire,0,2001_03_01,"{""type"":""MultiPoint"",""coordinates"":[]}"
